idioms,literal_meaning
ያገር ሸክም,ያገር እዳ
ነጭ እሾህ,መርዘኛ
ስርቅ ያለ,ድብቅ ያለ
ራሰ ክፍት,ብልህ
ትኩስ ሀይል,ወጣት ትውልድ
ፍቅሩ ቀዘቀዘ,በረደ
የተተወ,ትራፊ የተናቀ
ቅልል ያለ,ደስ የሚል ቀን
አሰልጥ ሌባ,የቤት ሌባ
አራራቂ,አለያይ
ቤቱ ፈረሰ,ከሚስቱ ጋር ተለያየ
የሀገር ምሰሶ,ለሀገር ለወገን አሳቢ መሪ
ልቡ ቆረጠ,ወሰነ
መና ቀረ,አጣ
አንገቱን መዘዘ,ወሬ ፈለገ አፉን አሞጠሞጠ 
ልቡ ታወከ,ቅሬታ አደረበት ተሸበረ
የንጨት ሽበት,የሽማግሌ ትንሽ
መከራውን በላ,ተሰቃዬ ተጎሳቆለ
ስማ በለው,አዋጅ
ሀሞታም,ጎበዝ
ቃር አያውቅሽ,ታሞ የማያውቅ
ሀብተ ቢስ,እድሉ የድካም ብቻ የሚሆንበት
የእረኛ ቃል,ያልተቀጣ ሰው ንግግር
ቤት ሰረሰረ,ለመስረቅ ቤት ሸነቆረ
ቢረግጥ ይገል,ደንደሳም
መሬት ይቅለለው,መቃብሩ ይስማማው
አንደበቱ የተለቀመ,ሲናገር ጠንቃቃ
መቼ አጣሁት,እኔ አውቀዋለሁ
ማብቂያው ሆነ,መጨረሻው ሆነ
ትርፍ ቃል,የማያስፈልግ ንግግር
መቀነቷ ተፈቷል,ወንድ ደፍሯታል
ልቃቂት ለቀቀ,ልቃቂት አወጣ
ቡራ ከረዩ አለ,ፎከረ
ተቆለለበት,ወጣበት
ስለቱ በረደ,መቁረጥ አይችልም
ልቡ ራሰ,የፈለገው ሆነለት
መስቀለኛ መንገድ,ተቋራጭ መንገድ
ልብ አድርግልኝ,እማኜ ምስክሬ ነህ
ቷቷ አለ,ቶሎ ፈሰሰ
ሆደ ሰፊ,ታጋሽ
አነጋገሩ ቀለለ,ውሸት ሆነ
ሀብተ ስጋ,ሀላፊ ደስታ
ቀለባት,ወዲያው ወሰዳት
ስድብ ቀመሰ,ቁጣ ደረሰበት
በጎ በጎ,ጥሩ ጥሩ
ሎጥ ሎጥ አለ,አውደለደለ
ሰልፍ አበላሽ,አይገቡ የሚገባ
ጉዳዩ መክኖ ቀረ,ሳይሳካ ቀረ
ምስጋና ቢስ,ነጥቆ በረር
የሞተ እንጀራ,በሞሰብ ያለ
ሮሮ አይመረው,ጥቃት አይከብደው
አሳበ ሩቅ,የመጠቀ
ቅላጥቤ,አለሁ አለሁ ባይ
ቀብሮ አቆየ,በስራ እንዳናድግ አደረገ
ሰውነቱ ባዘተ,ደቀቀ
ቀዝቃዛ ጦርነት,የፖለቲካ ጦርነት
ላይ በሌ,ትውክታ
እንባ አድርቅ,አለቃቀሱ ደስ የማይል
ስር ተቆጣ,አበጠ
ስርራ ፈታ,ቦዘነ
የሰደድ እሳት,ድንገት የተነሳ የጫካ እሳት
በራብ አለንጋ ተገረፈ,ይልሰው ይቀምሰው አጣ
ሀይ በል አለ,ጀመረ
ሲሆን,ከተቻለ
አራሳት,አራጠባት
በትከሻዬ,በኔ ላይ
ይቅርታ ጠየቀ,ተማፀነ
በትምህርት በሰለ,ብዙ ተማረ
ሰንኮፉ አልወጣም,ቂሙ አልበረደም
ሸርሞ ለሸርሞ,ጎን ለጎን
እድሜው ሞላ,ጎለመሰ አካለ መጠን ደርሰ
የልብስ ቅድ,የልብስ አሰፋፍ አይነት
ሰውነቱ ተለወጠ,ፊቱን አጠቆረ
አውሬ ቀሰቀሰ,አስደነበረ
ችሎት ተመለሰ,ፍርድ ቤት ተነሳ
እጁን አቆመ,መስጠት ተወ
ባልኮል ተቃጠለ,መጠጥ ሰውነቱን ጎዳው
ዝም አሰኘ,መናገር ከለከለ
ቋሚ ነገር,ቋሚ ስራ
ሀብተ ስንኩል,ኑሮ ያልተሳካለት
እንግዳውን ሸኘ,አስተናግዶ ደግሶ
ሌላ ሌላ አለ,ጣእሙ ለወጠ
የለበጣ አነጋገር,የሽንገላ ንግግር
እሳቱ ሞተ,ጠፋ
አጥሩ አረገዘ,አጥሩ ሊፈርስ ደረሰ
ባይኔ በብረቱ,በእርግጥ
ከንፈሯን መገመገው,አጥብቆ ሳመው
ሰውነቱ ተረታ,ደከመ
ቂጡን ጣለ,ተራቆተ
ቆለለበት,በሱ ሰበብ አደረገ
ታች በሌ,ተቅማጥ
የመጣው ቢመጣ,የሆነው ቢሆን
ቤት አሳየ,መልስ ጠራ
ያልሁት አልሆነም,አልተፈፀመም
የሰማይ ቤት,መንግስተ ሰማያት
ቂጣ,አእምሮው ያልተገራ
ንቅናቄ,የለውጥ አድማ
የሴት ምራቋ ደንዳና ነው,ብዙም አትበላም
ምን አባቱ,ወራዳ
ቅርሻ ቅርሻ አለ,ደነፋ
ስር ያዘ,ተጠናከረ
ለምኔ,ምን ይሰራልኛል
ማህተመ ድንግልና,ክብርና
ቁርጬ ደሀ,መናጢ ደሀ
ቂጣ ቆረጥ,ወደል
አመሉ አልሰከነም,ቆጣ ቆጣ ማለቱን አልተወም
ተፋበት,አዋረደው
ቀትረ ቀላል,ከውካዋ
ብር ሸሸ,ቀትረ ቀላል
ተነቅሶ ተያዘ,ተለይቶ ተያዘ
ምች መታው,ትኩሳት ያዘው
ልብ አጠፋ,ቀልበ ቢስ አደረገ
ልበ ባህር,ታጋሽ
በገና ምት,በገና ድርደራ
ስበትን ረገጠ,ተጫነ አሰረ
ቁርበት መጣል,መኝታ ማሰናዳት
ከተማ ቆረቆረ,ከተማ መሰረተ
ጥጋቡ በረደ,ሰከነ
ብቅል አውራጅ,ረጅም ሰው
አስመሰከረ,የደረሰበት ደረጃ እንዲታወቅለት አደረገ
ቦጨቀ,አማ
ቸንቧ ቸንቧ አለ,እዩኝ እዩኝ አለ
ቀነደበ,መታ
መኪናውን ቆሰቆሰ,መኪናውን አስነሳ
የጉድፍ ልቅ,ሞኝ ሰው
የልብ ልብ በቃው,ደፋር ሆነ ኮራ
ብልት ነቀለ,አወራረደ
አእምሮው ላሽቋል,አስተካክሎ ማሰብ አቅቶታል
ስንዝር ሲሰጡት ጋራ,ትንሽ ሲሰጡት ተጨማሪ የሚጠይቅ
ጎህ ቀደደ,ፀሀይ ወጣ
ቀን አይቶ,ጊዜ ለይቶ
በሽታው ወጣለት,በሽታው ለቀቀው
ቀበ ቢስ,ለዛቢስ
ካብተ ነቢ,ጥሩ ደሀ ምናምን የሌለው ሰው
መንገዱ ቀና,ጉዳዩ ተሳካ
በጥርስ ሸኘው,በሳቅ በፈገግታ
ቤተኛ,የቅርብ ወዳጅ
ቆመብኝ,ጠበቃ ሆነብኝ
የኋላ ኋላ,ቆይቶ ቆይቶ
ባልተቤት,ሚስት
ቀንዳም,ተንኮለኛ
አብሮ ሳቀ,አብሮ አሾፈ
ተበሳበሰ,ተሞላቀቀ
አውድማን ረገጠ,ደበደበ አስተካከለ
ትኩስ ነው,ቁጡ ነው
ሴት አስረካሽ,ጋለሞታ
ራስ በራስ,ላይ በላይ
ሰረገላ ገባ,ሰረገ ሰጠመ 
ሌባ ጣት,ከአውራ ጣት ቀጥሎ ያለ አመልካች ጣት
ልጓም በሊታ,የበለጠ ተናዳጅ
እጁን ሰጠ,ተያዘ ለሌባ
ቆርጦ ሄደ,ፊቱን ሳይመልስ
እኔ ራሴ,እኔው
የሞት ሞት,የመጨረሻው ውድቀት
ነገር ሰረሰረ,ነገር ጎለጎለ
ነገር የበላ,የነገር ስልት አዋቂ
ቅርጥፍ አርጎ በላ,ጭርስ አድርጎ
ምስጢር አወጣ,ሚስጥር ተናገረ
ባዶ ቤት,ምግብ የሌለበት
ጠመንጃውን አቃመ,አጎረሰ በብዛት
የእንግዳ ቁርበት,ሴተኛ አዳሪ
ለብታ,ትንሽ ስካር
ጠምንጃው ተራገጠ,ወደኋላ ገፋው
በጎደለ ሞላ,አስተካከለ
ጉዳይ ቆረጠ,ጉዳይ ወሰነ
ነገር ውስጥ ማገደው,ሳይፈልግ ነገር ውስጥ ጨመረው
ሰይጣን አትሁንብኝ,ክፉ ስራ እንድሰራ አታድርገኝ
ነገሩን ረገጠ,ታገሰ
የቤት እምቤት,ሚስት
ቋንቋ ለቋንቋ,ሀሳብ ለሀሳብ
በቃል ነገረው,በአፍ በፅሁፍ ሳይሆን
እንባ እንባ አለው,ማልቀስ ፈለገ
ሰንጣቃ እንጨት,ጭንቅ
ሰይጣኔ መጣ,እልኬ መጣ
ኋሊት,እጅን ማሰር
ቅሌን ጨርቄን አለ,ሰበብ አበዛ
ልቅ ወጣች,ባዶ እጅ ቀረች
ራሱን ጣለ,አልባሌ ሆነ
