text,label
ሀሞታም,1
ሀሞተቢስ,1
ሀሞቱ ፈሰሰ,1
ሀረግ መዘዘ,1
ሀረግ ጣለ,1
ሀሳበ ቢስ,1
ሀሳብ ገባው,1
ሀብተ ስጋ,1
ሀብተ ሰባራ,1
ሀብተ ስንኩል,1
ሀብትሽ በሀብቴ,1
ሀብተ ቢስ,1
ሀብተ ነፍስ,1
ሀብቷ ቀና,1
ማህተመ ድንግልና,1
ሀይ አለ,1
ሀይ በል አለ,1
ሀይ ሀይ አለ,1
ሁለት ምላስ,1
ሁሉ አማረሽ,1
ሁሉ አገርሽ,1
ኋሊት,1
ኋላ ኋላ አለ,1
የኋላ ኋላ,1
ሂያጅ,1
ህሊና ቢስ,1
ህሊናውን ሳተ,1
ህቅ አለ,1
ህቅ ህቅ አደረገው,1
ህግ ተላለፈ,1
ህግ አፈረሰ,1
ህገ ወጥ,1
ህግ ገባ,1
ሁነኛ,1
ሁኔታው አይፈቅድም,1
ሁን ያለው ይሆናል,1
ሆነልኝ,1
ሆነብኝ,1
ሆን ብሎ,1
ሆኖለታል,1
አያውቅ,1
ለሆነ ነገር,1
ሰው,1
ሰው,1
ሰው እንዳይሆን የለም,1
ሳይሆን,1
ስለሆነ,1
በሆነ ባልሆነ,1
ቢሆን ባይሆን,1
ባልሆነ,1
ባይሆን,1
ተሆነ ተሆነ,1
ነፍስ,1
አልተኋኋንም,1
አኳኋን,1
አይሁን,1
አይሆነኝም,1
አይሆንም,1
አይሆንልኝም,1
እንደመሆኑ መጠን,1
እንደሁናቴዬ,1
እንደየሁኔታው,1
እዚህ ሁን,1
እንዳልሆነ,1
በምንም ምክንያት,1
በእኩልነት,1
ከሀ እስከ ፐ,1
አፍላ ስራ,1
ከሆነማ,1
ዋስ ሁነኝ,1
የሆነ ሰው,1
የሆነው ሁኖ,1
የሆነ ያልሆነውን,1
የሆነው ይሁን አለ,1
የሆነው ይሁን,1
የሆነው ይሆናል,1
የማይሆነው ነገር,1
የት ሁነህ,1
ያልሁት አልሆነም,1
ይሁን,1
ይሁንልህ,1
ይሆናል ብሎ,1
ደህና ሁን,1
ሆደ መጋዝ,1
ሆደ ሰፊ,1
ሆደ ቡቡ,1
ሆደ ባሻ,1
ሆደ ገር,1
ሆዱ ሻከረ,1
ሆዱን ቆረጠው,1
ሆዱ ባሰበት,1
ሆዱ ጠቡቷል,1
ሆዱ አይበልጠውም,1
ሆዱ ጎሸ,1
ሆዳም,1
ሆዴ,1
ሆድ ሆዴን,1
ሆድ ሆዴን አለኝ,1
ሆድ ለሆድ,1
ሆድ ሰጠ,1
ሆድ ሲያውቅ ዶሮ ማታ,1
ሆድና ጀርባ,1
ሆድ እቃ,1
የሆድ,1
ለመናት,1
መለመኛ አጣ,1
የልመና እህል,1
በዘልማድ,1
አይለመድ,1
አይለመደኝም,1
አልሚና ለሚ,1
ተለሳለሰ,1
ልሳኑ ተዘጋ,1
ለቀለቀኝ,1
ዋንጫ ልቅለቃ,1
ልቅም ያለች,1
አንደበቱ የተለቀመ,1
ልቃቂት ለቀቀ,1
ልቅ,1
ልቅ ወጣች,1
ሚስቱን ለቀቀ,1
